staterr,subyr,prop_ipse_missing,ipse_one,flag_1
HI,2015,0,0.75,TRUE
HI,2016,0,0.6741214057507987,TRUE
HI,2017,0,0.7473684210526316,TRUE
HI,2018,0,0.7325581395348837,TRUE
HI,2019,0,0.6829268292682927,TRUE
ID,2010,1,0,FALSE
ID,2011,1,0,FALSE
ID,2012,1,0,FALSE
ID,2013,1,0,FALSE
ID,2014,1,0,FALSE
ID,2015,1,0,FALSE
ID,2016,1,0,FALSE
ID,2017,1,0,FALSE
ID,2018,0.9983766233766234,0.0016233766233766235,FALSE
ID,2019,0.8036006546644845,0.0425531914893617,FALSE
IL,2010,0,0.005903574942604133,FALSE
IL,2011,0,0.004776526782668032,FALSE
IL,2012,0,0.0037891836031691355,FALSE
IL,2013,0,0.0026999662504218697,FALSE
IL,2014,0,0.007110536522301228,FALSE
